text,label,Naive Bayes,Logistic Regression,Random Forest
"Message-ID: <13116875.1075855687561.JavaMail.evans@thyme>
 9 Oct 2000 07:16:00 -0700 (PDT)


  was informative the solution of creating a infinitely dynamic
 will be extremely difficult and time
 Keith alluded to the
 so the solution was to make it so that a trader can
 this is critical. This does not exclude
 but in order to create a plan that can be measured we need firm
 to reiterate that the goals of this project is a project
 and will need to be prioritised as efforts outside of this
 but now
 Russ Severson/HOU/ECT@ECT, Scott
 Kenny Ha/HOU/ECT@ECT
 I think we still have the following issues:
 many of which appear to
 work to define relative importance (priority) of each and

 swaps, options, ...




 and net P&L affect of the change.",safe,safe,safe,safe
"Message-ID: <21687372.1075855688094.JavaMail.evans@thyme>
 20 Sep 2000 08:06:00 -0700 (PDT)

000/d in 2003 and 25,000/d in 2004 and",phishing,safe,phishing,phishing
"Message-ID: <29665600.1075855687895.JavaMail.evans@thyme>
 26 Sep 2000 05:11:00 -0700 (PDT)",safe,safe,phishing,safe
"Message-ID: <24737799.1075855688205.JavaMail.evans@thyme>
 18 Sep 2000 02:34:00 -0700 (PDT)",phishing,phishing,phishing,phishing
"Message-ID: <19773657.1075855687649.JavaMail.evans@thyme>
 4 Oct 2000 09:23:00 -0700 (PDT)
 Reporting and Resources Meeting
 Thomas A Martin/HOU/ECT@ECT, Scott
 John Arnold/HOU/ECT@ECT, Grant Masson/HOU/ECT@ECT, Ted
 Vladimir Gorny/HOU/ECT@ECT, Frank Hayden/Corp/Enron@Enron
 Ina Rangel/HOU/ECT@ECT, Laura
 Kimberly Brown/HOU/ECT@ECT, Araceli
 Kimberly Hillis/HOU/ECT@ect
 Reporting and Resources Meeting
 Reporting and Resources Meeting
 October 11th
 please feel free to call me.",safe,safe,safe,safe
"Message-ID: <23377438.1075855688269.JavaMail.evans@thyme>
 12 Sep 2000 06:06:00 -0700 (PDT)

 1417, and 1425  Why overtime?",phishing,safe,phishing,phishing
"Message-ID: <19034252.1075855687825.JavaMail.evans@thyme>
 26 Sep 2000 09:28:00 -0700 (PDT)
 """"Claudia L. Crocker
 land improvements loans and construction loans would be in
 this generally means
 that are intended for re-sale, are

 engineering &
 soils tests, surveys, filing fees, legal fees for
  and appraisals.  Unlike
 none of the funds are used for fees to
 LLC.  These professional expenses will be incurred over
000 per month costs listed in the cash flow as part of land cost
 we can close into a land loan at
000 this would mean a land loan of $476,000 with estimated
966, given a 10% annual interest rate, plus
 the City will require
 referred to as
 they have to be counted as a
 even though they are not spent.  Because they are not
 which I suspect will be at least $20,000 and potentially as
000.  This would produce a loan amount of  $15,000 on $20,000
000, 'fiscals' at
000 and the land cost at $8,000 , total improved lot cost is $19,000
000 per lot in total equity.  The investment prior to
 the additional equity for the
000.   Even if the maximum loan would
 it is unlikely the bank would allow reimbursement of funds
 which can
 the total
000 per lot.   Of this, probably
000 would be for improvements and $19,000 for the land cost.  The
 the entry road, water treatment costs, perimeter fencing and
 and so on, as well as for 100% of the land.  The land loan for
 which I would
000 per lot for a loan value of $7,000 per lot.  Then the
000 per lot.  This would give
000, total cost of $1,232,645 for equity required
000.  This was not presented in the initial analysis as the phasing
 is a speculative
  is
 but the loan remains in the
 is a pre-sold unit with the construction
 as such loans are too
 if the construction loan is from the mortgage lender,  will
 then to necessary reserves, then to priority
 LLC to construct the units and the
 financing and sales costs.
 Larry Lewter or myself prior to
 except for a) direct reimbursement for partnership
 if CB cannot find a good trim carpenter sub, or
 etc., and it decides to undertake this
 it will charge the partnership the same fee it was able to obtain
 CB will receive a fee for the use of any of its equipment if it is
 but it is considering the purchase of a sky track
 cornice, roofing and drywall spreading.
 """"Bookkeeping
 but in my
 and I presume
 want to be involved to learn as much as possible we would make every
 vendors and professionals is not as

 SUBS AND VENDORS
 but this is a starting point.  Call

 Creekside Builders, LLC",safe,safe,safe,safe
"Message-ID: <25140503.1075855687800.JavaMail.evans@thyme>
 28 Sep 2000 05:56:00 -0700 (PDT)

 I am concerned there has been an attempt to
 offers for physical gas at significantly (10 to 15
 these trades are out of
 Enron's direct phone conversations, and three brokerage
 APB, and Prebon).  Please see the attached spreadsheet for a
4,80) are much greater
4.665) on those days.
 the",safe,safe,safe,safe
"Message-ID: <24741229.1075855687937.JavaMail.evans@thyme>
 26 Sep 2000 05:07:00 -0700 (PDT)
 Hunter S Shively/HOU/ECT@ECT, Scott
 Allan Severude/HOU/ECT@ECT, Russ Severson/HOU/ECT@ECT,
 Scott Neal/HOU/ECT@ECT
 9/28 from 3:00 -",safe,safe,safe,safe
"Message-ID: <12759088.1075855687671.JavaMail.evans@thyme>
 3 Oct 2000 09:30:00 -0700 (PDT)
 let me know.
 let me know your interest level in the Westgate project?
 which now has a moratorium on development.
 roughly $1.25
 but by individual room.  This
 just as the duplexes do now.
 please let me know as there
 very short window of opportunity.  The equity requirement is not
 but it would be likely to be $300,000 to secure the land.  I will

 Creekside Builders, LLC",safe,safe,safe,safe
